kepid,kepler_name,period,t0,duration_hrs,disposition,depth_ppm,duration_days
11960862,Kepler-677 b,6.575315881,173.634044,4.3084,CONFIRMED,2793.3,0.17951666666666666
12020329,Kepler-678 b,7.275040844,169.994217,7.5377,CONFIRMED,3001.0,0.31407083333333335
12066335,Kepler-231 c,19.27153892,186.77093,2.7594,CONFIRMED,1219.8,0.114975
12066335,Kepler-231 b,10.06524317,136.28906,1.369,CONFIRMED,1053.3,0.057041666666666664
12070811,Kepler-679 b,12.3935651,178.74725,3.8896,CONFIRMED,916.6,0.16206666666666666
8395660,Kepler-106 e,43.84439721,151.93538,6.802,CONFIRMED,615.2,0.28341666666666665
3120431,,3.341913228,171.63943,3.813,FALSE POSITIVE,725.3,0.15887500000000002
3246984,,1.626630225,169.820171,2.1145,FALSE POSITIVE,1620.6,0.08810416666666666
3342970,Kepler-234 b,2.711504086,170.03417,3.0099,CONFIRMED,837.5,0.1254125
3342970,Kepler-234 c,7.21203748,172.81782,4.0491,CONFIRMED,950.4,0.16871250000000002
12459725,,14.1798187,171.50237,2.505,FALSE POSITIVE,459.9,0.104375
12470844,Kepler-233 b,8.47237911,174.16212,2.7245,CONFIRMED,1123.5,0.11352083333333333
12470844,Kepler-233 c,60.4189369,181.16367,5.039,CONFIRMED,931.3,0.20995833333333333
12644822,Kepler-682 b,12.611904345,180.892284,5.1497,CONFIRMED,6105.6,0.21457083333333335
2440757,,1.433769925,170.403536,1.8868,FALSE POSITIVE,1976.3,0.07861666666666667
2445129,,10.31872301,173.31543,3.836,FALSE POSITIVE,871.7,0.15983333333333333
2713049,Kepler-683 b,2.539183147,169.67494,2.4282,CONFIRMED,382.1,0.101175
3114167,Kepler-684 b,6.770300385,170.57662,2.0844,CONFIRMED,1304.0,0.08685
3114661,,0.444291966,169.865406,2.0792,FALSE POSITIVE,10967.4,0.08663333333333334
3115833,,10.181584004,177.141891,3.5089,CANDIDATE,5741.1,0.14620416666666666
4139816,Kepler-235 d,20.06036336,147.46554,3.3203,CONFIRMED,1494.7,0.13834583333333333
4139816,Kepler-235 e,46.1842039,165.23729,4.758,CONFIRMED,1394.7,0.19825
8395660,Kepler-106 d,23.9800854,147.537,5.351,CONFIRMED,104.0,0.22295833333333334
4139816,Kepler-235 c,7.82502168,136.54995,2.186,CONFIRMED,520.8,0.09108333333333334
